NO,PBD,POINT_X,POINT_Y
1,73.45,712140,9324940
2,76.91,712170,9324940
3,80.41,712200,9324940
4,82.15,712230,9324940
5,73.96,712140,9324910
6,77.65,712170,9324910
7,80.16,712200,9324910
8,82.66,712230,9324910
9,70.01,712140,9324880
10,72.36,712170,9324880
11,79.63,712200,9324880
12,83.37,712230,9324880
13,73.39,712140,9324850
14,75.31,712170,9324850
15,80.29,712200,9324850
16,83.51,712230,9324850
17,73.59,712140,9324820
18,77.71,712170,9324820
19,81.66,712200,9324820
20,84.59,712230,9324820
21,79.97,707820,9323410
22,80.11,707850,9323410
23,79.49,707880,9323410
24,80.14,707910,9323410
25,79.29,707940,9323410
26,80.52,707970,9323410
27,80.02,707820,9323380
28,79.63,707850,9323380
29,79.46,707880,9323380
30,79.83,707910,9323380
31,79.98,707940,9323380
32,79.92,707970,9323380
33,79.72,707820,9323350
34,79.83,707850,9323350
35,79.49,707880,9323350
36,79.06,707910,9323350
37,79.50,707940,9323350
38,79.58,707970,9323350
39,80.52,707820,9323320
40,80.40,707850,9323320
41,78.99,707880,9323320
42,79.01,707910,9323320
43,80.67,707940,9323320
44,79.74,707970,9323320
45,80.03,707850,9323290
46,79.68,707880,9323290
47,79.28,707910,9323290
48,79.90,707940,9323290
49,67.43,706800,9320830
50,70.46,706830,9320830
51,71.94,706860,9320830
52,68.30,706800,9320800
53,67.85,706830,9320800
54,70.52,706860,9320800
55,67.00,706800,9320770
56,66.45,706830,9320770
57,69.28,706860,9320770
58,81.44,711090,9322180
59,82.17,711120,9322180
60,82.01,711150,9322180
61,80.96,711180,9322180
62,83.22,711060,9322150
63,82.84,711090,9322150
64,82.89,711120,9322150
65,83.25,711150,9322150
66,82.98,711180,9322150
67,84.04,711060,9322120
68,82.95,711090,9322120
69,83.11,711120,9322120
70,83.14,711150,9322120
71,82.65,711180,9322120
72,86.63,711060,9322090
73,83.85,711090,9322090
74,80.53,711120,9322090
75,82.82,711150,9322090
76,82.12,711180,9322090
77,79.36,711090,9322060
78,74.41,711120,9322060
79,81.79,711150,9322060
80,82.54,711180,9322060
81,63.23,706410,9317470
82,67.09,706440,9317470
83,68.83,706470,9317470
84,70.50,706500,9317470
85,71.50,706530,9317470
86,69.99,706560,9317470
87,67.12,706590,9317470
88,66.53,706620,9317470
89,65.60,706410,9317440
90,68.38,706470,9317440
91,69.99,706500,9317440
92,68.67,706530,9317440
93,70.50,706560,9317440
94,69.16,706590,9317440
95,67.98,706620,9317440
96,64.76,706410,9317410
97,67.76,706470,9317410
98,69.90,706500,9317410
99,65.23,706530,9317410
100,68.62,706560,9317410
101,66.14,706590,9317410
102,68.10,706620,9317410
103,66.85,706410,9317380
104,65.60,706440,9317380
105,66.83,706470,9317380
106,66.15,706500,9317380
107,66.14,706530,9317380
108,66.89,706560,9317380
109,67.04,706590,9317380
110,68.13,706620,9317380
